#       r             V(r)
  3.35462624e-04  -5.96191602e+03
  3.38834157e-04  -5.90259277e+03
  3.42239422e-04  -5.84386230e+03
  3.45679058e-04  -5.78571338e+03
  3.49153095e-04  -5.72814648e+03
  3.52662231e-04  -5.67114893e+03
  3.56206467e-04  -5.61472119e+03
  3.59786471e-04  -5.55885254e+03
  3.63402301e-04  -5.50354248e+03
  3.67054628e-04  -5.44878027e+03
  3.70743510e-04  -5.39456494e+03
  3.74469615e-04  -5.34088721e+03
  3.78233002e-04  -5.28774609e+03
  3.82034399e-04  -5.23513086e+03
  3.85873835e-04  -5.18304102e+03
  3.89752007e-04  -5.13146826e+03
  3.93668975e-04  -5.08041064e+03
  3.97625525e-04  -5.02985840e+03
  4.01621626e-04  -4.97981152e+03
  4.05658066e-04  -4.93026074e+03
  4.09734901e-04  -4.88120508e+03
  4.13852889e-04  -4.83263525e+03
  4.18012089e-04  -4.78455078e+03
  4.22213285e-04  -4.73694238e+03
  4.26456478e-04  -4.68981055e+03
  4.30742541e-04  -4.64314502e+03
  4.35071677e-04  -4.59694385e+03
  4.39444120e-04  -4.55120459e+03
  4.43860685e-04  -4.50591846e+03
  4.48321458e-04  -4.46108447e+03
  4.52827255e-04  -4.41669531e+03
  4.57378133e-04  -4.37274951e+03
  4.61974967e-04  -4.32923877e+03
  4.66617785e-04  -4.28616309e+03
  4.71307489e-04  -4.24351416e+03
  4.76044079e-04  -4.20129150e+03
  4.80828516e-04  -4.15948730e+03
  4.85660799e-04  -4.11810059e+03
  4.90541861e-04  -4.07712402e+03
  4.95471817e-04  -4.03655664e+03
  5.00451482e-04  -3.99639136e+03
  5.05480974e-04  -3.95662769e+03
  5.10561280e-04  -3.91725757e+03
  5.15692343e-04  -3.87828125e+03
  5.20875270e-04  -3.83969092e+03
  5.26110001e-04  -3.80148633e+03
  5.31397643e-04  -3.76365991e+03
  5.36738138e-04  -3.72621191e+03
  5.42132591e-04  -3.68913452e+03
  5.47580945e-04  -3.65242798e+03
  5.53084363e-04  -3.61608496e+03
  5.58642845e-04  -3.58010498e+03
  5.64257381e-04  -3.54448169e+03
  5.69928437e-04  -3.50921240e+03
  5.75656130e-04  -3.47429639e+03
  5.81441738e-04  -3.43972559e+03
  5.87285147e-04  -3.40550073e+03
  5.93187637e-04  -3.37161450e+03
  5.99149091e-04  -3.33806738e+03
  6.05170790e-04  -3.30485229e+03
  6.11252675e-04  -3.27196924e+03
  6.17396028e-04  -3.23941187e+03
  6.23600790e-04  -3.20717993e+03
  6.29868242e-04  -3.17526733e+03
  6.36198383e-04  -3.14367358e+03
  6.42592437e-04  -3.11239258e+03
  6.49050402e-04  -3.08142480e+03
  6.55573618e-04  -3.05076343e+03
  6.62162085e-04  -3.02040845e+03
  6.68817083e-04  -2.99035425e+03
  6.75538671e-04  -2.96060034e+03
  6.82328071e-04  -2.93114136e+03
  6.89185399e-04  -2.90197681e+03
  6.96111994e-04  -2.87310083e+03
  7.03107857e-04  -2.84451392e+03
  7.10174383e-04  -2.81620972e+03
  7.17311574e-04  -2.78818872e+03
  7.24520825e-04  -2.76044507e+03
  7.31802545e-04  -2.73297754e+03
  7.39157142e-04  -2.70578467e+03
  7.46585953e-04  -2.67886108e+03
  7.54089095e-04  -2.65220654e+03
  7.61667965e-04  -2.62581616e+03
  7.69322680e-04  -2.59968945e+03
  7.77054694e-04  -2.57382129e+03
  7.84864009e-04  -2.54821216e+03
  7.92752195e-04  -2.52285645e+03
  8.00719310e-04  -2.49775415e+03
  8.08766868e-04  -2.47290039e+03
  8.16894870e-04  -2.44829541e+03
  8.25105002e-04  -2.42393384e+03
  8.33397266e-04  -2.39981592e+03
  8.41773232e-04  -2.37593677e+03
  8.50232958e-04  -2.35229639e+03
  8.58778134e-04  -2.32889014e+03
  8.67408817e-04  -2.30571777e+03
  8.76126578e-04  -2.28277515e+03
  8.84931593e-04  -2.26006177e+03
  8.93825490e-04  -2.23757324e+03
  9.02808388e-04  -2.21530957e+03
  9.11881973e-04  -2.19326636e+03
  9.21046303e-04  -2.17144360e+03
  9.30303184e-04  -2.14983667e+03
  9.39653080e-04  -2.12844507e+03
  9.49096517e-04  -2.10726733e+03
  9.58635355e-04  -2.08629907e+03
  9.68269538e-04  -2.06554053e+03
  9.78001044e-04  -2.04498755e+03
  9.87829873e-04  -2.02464014e+03
  9.97758005e-04  -2.00449402e+03
  1.00778532e-03  -1.98454968e+03
  1.01791392e-03  -1.96480273e+03
  1.02814392e-03  -1.94525293e+03
  1.03847717e-03  -1.92589697e+03
  1.04891381e-03  -1.90673438e+03
  1.05945580e-03  -1.88776160e+03
  1.07010326e-03  -1.86897852e+03
  1.08085817e-03  -1.85038159e+03
  1.09172077e-03  -1.83197034e+03
  1.10269291e-03  -1.81374158e+03
  1.11377495e-03  -1.79569495e+03
  1.12496887e-03  -1.77782703e+03
  1.13627466e-03  -1.76013782e+03
  1.14769465e-03  -1.74262378e+03
  1.15922897e-03  -1.72528467e+03
  1.17087958e-03  -1.70811755e+03
  1.18264684e-03  -1.69112195e+03
  1.19453296e-03  -1.67429456e+03
  1.20653794e-03  -1.65763538e+03
  1.21866411e-03  -1.64114136e+03
  1.23091217e-03  -1.62481128e+03
  1.24328269e-03  -1.60864465e+03
  1.25577813e-03  -1.59263806e+03
  1.26839860e-03  -1.57679138e+03
  1.28114654e-03  -1.56110168e+03
  1.29402196e-03  -1.54556885e+03
  1.30702741e-03  -1.53018982e+03
  1.32016290e-03  -1.51496460e+03
  1.33343111e-03  -1.49989001e+03
  1.34683202e-03  -1.48496619e+03
  1.36036822e-03  -1.47019019e+03
  1.37403980e-03  -1.45556189e+03
  1.38784945e-03  -1.44107849e+03
  1.40179717e-03  -1.42673999e+03
  1.41588575e-03  -1.41254333e+03
  1.43011531e-03  -1.39848865e+03
  1.44448853e-03  -1.38457312e+03
  1.45900552e-03  -1.37079675e+03
  1.47366908e-03  -1.35715674e+03
  1.48847944e-03  -1.34365308e+03
  1.50343915e-03  -1.33028333e+03
  1.51854858e-03  -1.31704712e+03
  1.53381063e-03  -1.30394189e+03
  1.54922530e-03  -1.29096777e+03
  1.56479562e-03  -1.27812219e+03
  1.58052251e-03  -1.26540430e+03
  1.59640657e-03  -1.25281372e+03
  1.61245116e-03  -1.24034766e+03
  1.62865606e-03  -1.22800635e+03
  1.64502475e-03  -1.21578723e+03
  1.66155712e-03  -1.20369019e+03
  1.67825643e-03  -1.19171301e+03
  1.69512280e-03  -1.17985547e+03
  1.71215937e-03  -1.16811560e+03
  1.72936649e-03  -1.15649292e+03
  1.74674729e-03  -1.14498535e+03
  1.76430191e-03  -1.13359277e+03
  1.78203394e-03  -1.12231311e+03
  1.79994316e-03  -1.11114624e+03
  1.81803340e-03  -1.10008984e+03
  1.83630444e-03  -1.08914404e+03
  1.85475999e-03  -1.07830664e+03
  1.87340018e-03  -1.06757751e+03
  1.89222861e-03  -1.05695471e+03
  1.91124540e-03  -1.04643811e+03
  1.93045416e-03  -1.03602563e+03
  1.94985501e-03  -1.02571729e+03
  1.96945178e-03  -1.01551105e+03
  1.98924472e-03  -1.00540674e+03
  2.00923742e-03  -9.95402527e+02
  2.02943105e-03  -9.85497864e+02
  2.04982655e-03  -9.75692322e+02
  2.07042811e-03  -9.65983826e+02
  2.09123595e-03  -9.56372253e+02
  2.11225357e-03  -9.46856018e+02
  2.13348167e-03  -9.37434814e+02
  2.15492398e-03  -9.28106995e+02
  2.17658072e-03  -9.18872437e+02
  2.19845632e-03  -9.09729248e+02
  2.22055055e-03  -9.00677551e+02
  2.24286783e-03  -8.91715515e+02
