#       r             R(r)          X(r)=rR(r)          Veff
  3.354626e-04   6.846454e-05   2.296729e-08   1.776626e+07
  3.388341e-04   6.915250e-05   2.343122e-08   1.741440e+07
  3.422394e-04   6.984738e-05   2.390453e-08   1.706952e+07
  3.456790e-04   7.054923e-05   2.438739e-08   1.673146e+07
  3.491531e-04   7.125814e-05   2.488000e-08   1.640010e+07
  3.526622e-04   7.197417e-05   2.538257e-08   1.607530e+07
  3.562065e-04   7.269739e-05   2.589528e-08   1.575693e+07
  3.597864e-04   7.342788e-05   2.641836e-08   1.544487e+07
  3.634023e-04   7.416571e-05   2.695199e-08   1.513898e+07
  3.670546e-04   7.491095e-05   2.749641e-08   1.483916e+07
  3.707435e-04   7.566368e-05   2.805182e-08   1.454527e+07
  3.744696e-04   7.642397e-05   2.861845e-08   1.425720e+07
  3.782331e-04   7.719190e-05   2.919653e-08   1.397484e+07
  3.820344e-04   7.796754e-05   2.978628e-08   1.369806e+07
  3.858739e-04   7.875098e-05   3.038795e-08   1.342677e+07
  3.897520e-04   7.954229e-05   3.100176e-08   1.316085e+07
  3.936690e-04   8.034154e-05   3.162798e-08   1.290020e+07
  3.976255e-04   8.114883e-05   3.226684e-08   1.264471e+07
  4.016217e-04   8.196422e-05   3.291861e-08   1.239428e+07
  4.056580e-04   8.278781e-05   3.358354e-08   1.214881e+07
  4.097350e-04   8.361967e-05   3.426190e-08   1.190819e+07
  4.138529e-04   8.445989e-05   3.495397e-08   1.167235e+07
  4.180122e-04   8.530855e-05   3.566001e-08   1.144117e+07
  4.222133e-04   8.616573e-05   3.638031e-08   1.121458e+07
  4.264566e-04   8.703153e-05   3.711517e-08   1.099247e+07
  4.307425e-04   8.790602e-05   3.786486e-08   1.077475e+07
  4.350716e-04   8.878930e-05   3.862970e-08   1.056135e+07
  4.394441e-04   8.968145e-05   3.940998e-08   1.035218e+07
  4.438606e-04   9.058256e-05   4.020603e-08   1.014715e+07
  4.483215e-04   9.149273e-05   4.101815e-08   9.946176e+06
  4.528272e-04   9.241204e-05   4.184668e-08   9.749185e+06
  4.573782e-04   9.334058e-05   4.269194e-08   9.556095e+06
  4.619749e-04   9.427845e-05   4.355428e-08   9.366828e+06
  4.666178e-04   9.522575e-05   4.443403e-08   9.181310e+06
  4.713074e-04   9.618255e-05   4.533155e-08   8.999466e+06
  4.760441e-04   9.714897e-05   4.624720e-08   8.821222e+06
  4.808285e-04   9.812510e-05   4.718134e-08   8.646509e+06
  4.856609e-04   9.911104e-05   4.813435e-08   8.475256e+06
  4.905418e-04   1.001069e-04   4.910661e-08   8.307394e+06
  4.954719e-04   1.011127e-04   5.009851e-08   8.142856e+06
  5.004514e-04   1.021287e-04   5.111044e-08   7.981577e+06
  5.054811e-04   1.031548e-04   5.214280e-08   7.823492e+06
  5.105612e-04   1.041913e-04   5.319602e-08   7.668538e+06
  5.156924e-04   1.052381e-04   5.427051e-08   7.516652e+06
  5.208752e-04   1.062955e-04   5.536671e-08   7.367774e+06
  5.261101e-04   1.073635e-04   5.648504e-08   7.221844e+06
  5.313976e-04   1.084423e-04   5.762596e-08   7.078805e+06
  5.367383e-04   1.095318e-04   5.878993e-08   6.938598e+06
  5.421326e-04   1.106324e-04   5.997740e-08   6.801168e+06
  5.475811e-04   1.117439e-04   6.118886e-08   6.666459e+06
  5.530844e-04   1.128667e-04   6.242478e-08   6.534419e+06
  5.586430e-04   1.140007e-04   6.368567e-08   6.404993e+06
  5.642574e-04   1.151461e-04   6.497203e-08   6.278130e+06
  5.699283e-04   1.163030e-04   6.628436e-08   6.153780e+06
  5.756562e-04   1.174715e-04   6.762320e-08   6.031892e+06
  5.814416e-04   1.186518e-04   6.898908e-08   5.912419e+06
  5.872852e-04   1.198439e-04   7.038254e-08   5.795311e+06
  5.931875e-04   1.210480e-04   7.180415e-08   5.680523e+06
  5.991491e-04   1.222642e-04   7.325448e-08   5.568008e+06
  6.051707e-04   1.234926e-04   7.473409e-08   5.457721e+06
  6.112528e-04   1.247333e-04   7.624359e-08   5.349618e+06
  6.173960e-04   1.259865e-04   7.778357e-08   5.243656e+06
  6.236009e-04   1.272523e-04   7.935466e-08   5.139793e+06
  6.298682e-04   1.285308e-04   8.095747e-08   5.037987e+06
  6.361985e-04   1.298222e-04   8.259266e-08   4.938197e+06
  6.425924e-04   1.311265e-04   8.426087e-08   4.840383e+06
  6.490505e-04   1.324439e-04   8.596278e-08   4.744506e+06
  6.555736e-04   1.337745e-04   8.769906e-08   4.650528e+06
  6.621622e-04   1.351186e-04   8.947040e-08   4.558412e+06
  6.688171e-04   1.364761e-04   9.127752e-08   4.468119e+06
  6.755388e-04   1.378472e-04   9.312113e-08   4.379615e+06
  6.823281e-04   1.392321e-04   9.500198e-08   4.292864e+06
  6.891856e-04   1.406309e-04   9.692082e-08   4.207831e+06
  6.961120e-04   1.420438e-04   9.887841e-08   4.124481e+06
